"Timestamp","Year","Age","Gender","Where do you eat on campus? (Select all that apply)","What is your preferred choice?","When do you usually go?","How many times do you go a week? ","Why do you prefer this option?","Why do you go when you go?"
"2024/01/29 2:11:21 PM EST","Junior","20","Male","Dining Hall;Viking Court;The Pod;Java City","Viking Court","Afternoon;Evening","7 - 14","Quality","Time of day"
"2024/01/29 2:11:37 PM EST","Junior","20","Female","Dining Hall;Viking Court;The Pod;Java City;Prepare your own food","Prepare your own food","Afternoon;Evening","7 - 14","Convenience","Social Reasons"
"2024/01/29 2:11:51 PM EST","Junior","21+","Female","Dining Hall;Viking Court;The Pod;Java City;Prepare your own food","Prepare your own food","Afternoon;Evening","7 - 14","Price","Convenience"
"2024/01/29 2:12:05 PM EST","Junior","20","Male","Dining Hall;Viking Court;The Pod;Java City","Viking Court","Evening","< 7","Quality","Time of day"
"2024/01/29 2:12:32 PM EST","Junior","20","Male","Dining Hall;Viking Court;The Pod;Java City","Viking Court","Evening","7 - 14","Quality","Convenience"
"2024/01/29 2:14:18 PM EST","Junior","21+","Male","Dining Hall;Viking Court;The Pod;Java City;Prepare your own food","Viking Court","Afternoon;Evening","< 7","Convenience","Time of day"
"2024/01/29 2:45:42 PM EST","Senior+","20","Female","Dining Hall;Viking Court;The Pod;Java City","Java City","Afternoon;Evening","< 7","Convenience","Convenience"
"2024/01/29 3:08:56 PM EST","Senior+","21+","Male","Dining Hall;Viking Court;Prepare your own food","Prepare your own food","Evening","7 - 14","Convenience","Convenience"
"2024/01/29 3:30:18 PM EST","Sophomore","20","Female","Dining Hall;Viking Court","Viking Court","Afternoon","< 7","Convenience","Social Reasons"
"2024/01/29 3:30:35 PM EST","Junior","20","Female","Dining Hall;Viking Court;The Pod;Java City;Prepare your own food","Prepare your own food","Afternoon","< 7","Quality","Convenience"
"2024/01/29 3:30:47 PM EST","Sophomore","20","Female","Dining Hall;Viking Court;Java City;Prepare your own food","Viking Court","Afternoon","< 7","Quality","Time of day"
"2024/01/29 4:03:47 PM EST","Junior","20","Female","Java City","Java City","Morning","< 7","Place","Time of day"
"2024/01/29 4:49:06 PM EST","Junior","20","Female","Dining Hall;Viking Court;The Pod;Java City;Prepare your own food","Java City","Evening","< 7","Convenience","Time of day"
"2024/01/29 5:21:01 PM EST","Junior","21+","Male","Dining Hall;Viking Court","Dining Hall","Afternoon;Evening","7 - 14","Quality","Time of day"
"2024/01/29 5:58:58 PM EST","Sophomore","19","Female","Dining Hall;Viking Court;Prepare your own food","Dining Hall","Afternoon","< 7","Price","Convenience"
"2024/01/29 10:02:03 PM EST","Senior+","21+","","Viking Court;The Pod;Java City;Prepare your own food","The Pod","Afternoon;Evening","7 - 14","convenience and ability to eat in the library while I studied!","Time of day"
"2024/01/29 10:26:41 PM EST","Junior","21+","Female","Dining Hall;Viking Court;The Pod;Prepare your own food","Prepare your own food","Morning","< 7","Time","Convenience"
"2024/01/30 2:14:40 AM EST","Junior","20","Female","Dining Hall;Viking Court;The Pod;Java City;Prepare your own food","Viking Court","Morning;Evening","< 7","Quality","Convenience"